Note that the DS10 IMU data seems to have failed near the end of the recording.

Roll [rad]	Pitch [rad]	Delta t [s]
-0.0820831	0.0992656	0
-0.0853556	0.0872665	0.254635
-0.0864464	0.077449	0.253801
-0.0864464	0.0763582	0.258584
-0.0809922	0.0785398	0.317562
-0.0755381	0.0872665	0.368177
-0.0711748	0.0938114	0.319169
-0.0755381	0.0970839	0.354753
-0.0809922	0.0938114	0.340899
-0.0842647	0.0829031	0.329997
-0.0853556	0.0730857	0.341247
-0.0842647	0.070904	0.349044
-0.0733564	0.0763582	0.342354
-0.0733564	0.0763582	0.34963
-0.0548123	0.0981748	0.322549
-0.0624481	0.0970839	0.330505
-0.0755381	0.0883573	0.319779
-0.0853556	0.0796307	0.33841
-0.0875372	0.0719948	0.33559
-0.0853556	0.070904	0.318279
-0.0755381	0.0763582	0.329638
-0.0646298	0.083994	0.324443
-0.0526307	0.0938114	0.303857
-0.0515398	0.0949023	0.303255
-0.050449	0.0938114	0.306703
-0.0559031	0.0872665	0.313206
-0.0613573	0.0796307	0.31262
-0.0679023	0.0719948	0.319618
-0.0722656	0.0719948	0.332926
-0.0722656	0.0741765	0.31624
-0.0700839	0.0829031	0.314451
-0.0646298	0.0938114	0.317613
-0.0548123	0.100356	0.297406
-0.0526307	0.0959931	0.306921
-0.0537215	0.090539	0.303565
-0.0613573	0.0763582	0.328714
-0.0668114	0.0698132	0.322381
-0.0668114	0.0698132	0.322176
-0.0657206	0.0730857	0.333784
-0.0537215	0.0850848	0.32128
-0.0428132	0.0959931	0.307893
-0.0428132	0.0949023	0.352046
-0.0471765	0.0916298	0.316433
-0.0613573	0.083994	0.329647
-0.0679023	0.0796307	0.35695
-0.0689931	0.0785398	0.326818
-0.0580848	0.0818123	0.362625
-0.0471765	0.0872665	0.317718
-0.0428132	0.090539	0.306184
-0.0482673	0.0916298	0.31206
-0.0493582	0.0916298	0.339521
-0.0591756	0.083994	0.305437
-0.0613573	0.0807215	0.347721
-0.0711748	0.0687223	0.320199
-0.0777198	0.064359	0.331265
-0.0777198	0.064359	0.318519
-0.0777198	0.064359	0.335807
-0.0777198	0.064359	0.319851
-0.0679023	0.0861756	0.323729
-0.0646298	0.0883573	0.317643
-0.0602665	0.0894481	0.332634
-0.0657206	0.0785398	0.312721
-0.0733564	0.0719948	0.342919
-0.0809922	0.0665407	0.327695
-0.0777198	0.0698132	0.344739
-0.0646298	0.0741765	0.3297
-0.0526307	0.0807215	0.32258
-0.050449	0.0818123	0.316225
-0.0580848	0.0818123	0.331496
-0.0657206	0.0796307	0.315078
-0.0809922	0.0741765	0.324549
-0.0919005	0.0698132	0.348816
-0.0919005	0.0698132	0.321803
-0.0831739	0.0741765	0.312465
-0.063539	0.0796307	0.333181
-0.0526307	0.0785398	0.313709
-0.0548123	0.0741765	0.339237
-0.0657206	0.0698132	0.31706
-0.0711748	0.0687223	0.3358
-0.0842647	0.0719948	0.317091
-0.0842647	0.0730857	0.328007
-0.0733564	0.0719948	0.3448
-0.0646298	0.070904	0.303878
-0.0515398	0.0741765	0.312786
-0.0428132	0.0785398	0.31
-0.043904	0.083994	0.302579
-0.0460857	0.083994	0.336199
-0.0668114	0.0807215	0.301657
-0.0777198	0.0741765	0.327601
-0.0799014	0.064359	0.343216
-0.0788106	0.064359	0.308977
-0.0679023	0.0665407	0.312212
-0.0537215	0.077449	0.317794
-0.050449	0.0807215	0.313148
-0.0537215	0.0829031	0.324515
-0.0591756	0.0807215	0.312736
-0.0646298	0.077449	0.310152
-0.0711748	0.0719948	0.344775
-0.0744473	0.0698132	0.33244
-0.0744473	0.0698132	0.334565
-0.0744473	0.0698132	0.321384
-0.0591756	0.0796307	0.309589
-0.0548123	0.0829031	0.309531
-0.0526307	0.0829031	0.310883
-0.0537215	0.0818123	0.322174
-0.0591756	0.077449	0.33385
-0.0657206	0.0719948	0.33187
-0.0700839	0.0719948	0.314063
