Roll [rad]	Pitch [rad]	Delta t [s]
-0.00245243	-0.0229074	0
0.00409255	-0.0283616	0.370252
0.00627421	-0.0272708	0.345751
0.00627421	-0.0261799	0.325312
0.00627421	-0.0261799	0.350124
0.00627421	-0.0261799	0.336995
0.00627421	-0.0261799	0.328496
0.00627421	-0.0261799	0.452427
0.00627421	-0.0261799	0.356775
0.00627421	-0.0261799	0.347933
0.00627421	-0.0261799	0.37852
0.00627421	-0.0261799	0.391842
0.00627421	-0.019635	0.3342
0.00627421	-0.0185441	0.377414
0.00627421	-0.0185441	0.391919
0.00627421	-0.0185441	0.378216
0.00627421	-0.0185441	0.360975
0.00627421	-0.0185441	0.342262
0.00627421	-0.019635	0.351667
0.00627421	-0.019635	0.328081
0.00627421	-0.019635	0.322377
0.00627421	-0.019635	0.335843
0.00627421	-0.019635	0.332347
0.00627421	-0.019635	0.314807
0.00627421	-0.019635	0.375024
0.00627421	-0.019635	0.326981
0.00627421	-0.019635	0.324905
0.00627421	-0.019635	0.315709
0.00627421	-0.019635	0.348299
0.00627421	-0.019635	0.325873
0.00627421	-0.019635	0.342315
0.00627421	-0.019635	0.337106
0.00627421	-0.019635	0.321058
0.00518338	-0.0218166	0.344959
0.00518338	-0.0250891	0.34508
0.00518338	-0.0261799	0.338233
0.00518338	-0.0261799	0.353381
0.00518338	-0.0261799	0.341464
0.00518338	-0.0261799	0.337892
0.00954671	-0.0261799	0.32717
0.0106375	-0.0250891	0.329822
0.0106375	-0.0250891	0.375277
0.0106375	-0.0250891	0.330749
0.00954671	-0.0229074	0.356837
0.00736505	-0.0239983	0.337557
0.00300172	-0.0239983	0.358022
0.00191089	-0.0229074	0.367859
0.00191089	-0.0229074	0.36421
0.00191089	-0.0229074	0.350665
0.00191089	-0.0229074	0.35321
0.00191089	-0.0229074	0.381865
0.00191089	-0.0229074	0.376625
0.00191089	-0.0229074	0.377452
0.00191089	-0.0229074	0.346911
0.00191089	-0.0229074	0.37848
0.00082006	-0.0229074	0.381155
-0.00027077	-0.0229074	0.365752
-0.00027077	-0.0229074	0.339318
-0.00027077	-0.0229074	0.35112
-0.00027077	-0.0229074	0.367024
-0.00027077	-0.0229074	0.357084
-0.00027077	-0.0239983	0.353076
-0.00027077	-0.0250891	0.369977
-0.00027077	-0.0250891	0.350118
-0.00027077	-0.0239983	0.334087
-0.00027077	-0.0239983	0.328206
0.00082006	-0.0229074	0.340238
0.00082006	-0.0229074	0.382082
0.00082006	-0.0229074	0.3544
0.00082006	-0.0229074	0.371784
0.00082006	-0.0229074	0.369884
0.00082006	-0.0229074	0.38894
0.00082006	-0.0229074	0.345102
-0.00027077	-0.0229074	0.368672
-0.00027077	-0.0229074	0.347625
-0.00027077	-0.0229074	0.371532
-0.00027077	-0.0229074	0.364195
-0.00027077	-0.0239983	0.39366
-0.00027077	-0.0239983	0.344179
-0.00027077	-0.0239983	0.393808
-0.00027077	-0.0239983	0.352789
-0.00027077	-0.0239983	0.355112
-0.00027077	-0.0250891	0.339597
-0.00027077	-0.0250891	0.330066
-0.00027077	-0.0250891	0.360319
-0.00027077	-0.0250891	0.339168
-0.00027077	-0.0239983	0.380012
-0.00027077	-0.0239983	0.340401
-0.00027077	-0.0239983	0.334407
-0.00027077	-0.0239983	0.328867
-0.00027077	-0.0239983	0.343757
-0.00027077	-0.0239983	0.346662
-0.00027077	-0.0239983	0.339281
-0.00027077	-0.0239983	0.341765
-0.00027077	-0.0239983	0.367283
-0.00027077	-0.0239983	0.335643
-0.00027077	-0.0229074	0.350691
-0.00027077	-0.0174533	0.326887
-0.00027077	-0.0163625	0.336289
0.00082006	-0.0163625	0.325633
0.00300172	-0.0163625	0.37467
0.00300172	-0.0163625	0.337906
0.00300172	-0.0152716	0.370965
0.00300172	-0.0152716	0.33883
0.00300172	-0.0152716	0.39036
0.00191089	-0.019635	0.36164
0.00191089	-0.0250891	0.365085
0.00082006	-0.0250891	0.367774
0.00082006	-0.0250891	0.352351
0.00082006	-0.0250891	0.347166
0.00300172	-0.0250891	0.336927
0.00409255	-0.0250891	0.334216
0.00518338	-0.0239983	0.341083
0.00518338	-0.0207258	0.359887
0.00518338	-0.0207258	0.328434
0.00191089	-0.0207258	0.360094
-0.00027077	-0.0207258	0.336256
-0.00354326	-0.0229074	0.329562
-0.00354326	-0.0229074	0.327467
-0.00354326	-0.0207258	0.313375
-0.00354326	-0.019635	0.335898
0.00082006	-0.019635	0.328883
0.00191089	-0.019635	0.346065
0.00300172	-0.019635	0.330828
0.00300172	-0.019635	0.343443
0.00300172	-0.019635	0.327403
0.00191089	-0.019635	0.328294
0.00082006	-0.0229074	0.463375
0.00191089	-0.0229074	0.353822
0.00300172	-0.0229074	0.36638
0.00409255	-0.0229074	0.338
0.00409255	-0.0239983	0.323434
0.00518338	-0.0239983	0.321818
0.00518338	-0.0239983	0.333979
0.00300172	-0.0239983	0.328657
0.00082006	-0.0239983	0.334043
-0.0013616	-0.0239983	0.312943
-0.00245243	-0.0239983	0.355562
-0.00463409	-0.0239983	0.317609
-0.00463409	-0.0239983	0.332158
-0.0013616	-0.0239983	0.358375
0.00082006	-0.0239983	0.334745
0.00409255	-0.0239983	0.324576
0.00518338	-0.0239983	0.360881
